article_id,article_url,article_title,target_flavor,recommended_mix_heading,recommended_mix_text,recommended_mix_paragraph_count
lagos_af-watermelon-review,https://shisha-lagos.com/af-watermelon-review/,Al Fakherスイカのフレーバーレビュー|特徴やおすすめミックスなど,スイカ,Al Fakherスイカのおすすめミックス,"Al Fakherのスイカは、さまざまなフレーバーとミックスして楽しむことができます。
フルーツ系 / スイーツ系 / スパイス系
レモン/オレンジ ライム/グアバ メロン/マンゴー / バニラ チョコレート / カルダモン シナモン
柑橘系と相性がよく、爽やかに吸いたい人はシトラス系のミックスがおすすめです。 甘いスイカにしたいならメロンを、瓜っぽさを強調したいなら同じく青みのあるマンゴーやグアバとミックスするとよい でしょう。
スイーツ系ではバニラだけではなく、意外にもチョコレートとミックスしてもおもしろいです。ミックスの配合次第ではスイカバーのような味を作ることができ、意外性のあるミックスが好きな方にはおすすめです。
スパイス系ではカルダモンやシナモンと相性がよく、特にカルダモンは味のまとまりがよくなります。実際にスイカとカルダモンをミックスしたフレーバーも過去に販売されており、オーソドックスな味わいのシーシャが好きなら、ぜひ一度お試しください。",6
lagos_af-coconut-review,https://shisha-lagos.com/af-coconut-review/,Al Fakherココナッツのフレーバーレビュー|特徴やおすすめミックスなど,ココナッツ,Al Fakherココナッツのおすすめミックス,"フルーツ系 / スイーツ系 / スパイス/フローラル系
ピーチ/マンゴー パイン/ライチ ストロベリー/レモン ブルーベリー/メロン ライム / バニラ/ミルク キャラメル/コーヒー チョコレート / カルダモン ジンジャーエール アールグレイ シナモン
Al Fakherのココナッツは、南国系のフルーツと相性がよいのはもちろん、 一部の柑橘系やベリー系とも合わせて美味しく吸うことができます。 スイーツ系ではキャラメルやコーヒーなど、やや苦味のあるものの深みを出す役割としても使えるでしょう。
フローラル系とは相性がよくないものの、スパイス系は多数のフレーバーとミックス可能です。ただし、ココナッツとスパイス系を合わせる場合は、ツーミックスで完結せずに、フルーツのフレーバーをつなぎとして入れたほうが、味のまとまりは作りやすくなるでしょう。",4
lagos_af-orange-review,https://shisha-lagos.com/af-orange-review/,Al Fakherオレンジのフレーバーレビュー|特徴やおすすめミックスをご紹介,オレンジ,Al Fakherオレンジのおすすめミックス,"Al Fakherのオレンジは、フルーツをはじめとしたさまざまなフレーバーとミックスできます。
フルーツ系 / スイーツ系 / スパイス/フローラル系
レモン/ライム グレープフルーツ パッションフルーツ グアバ/マンゴー ピーチ/グレナデン パイン/りんご メロン / バニラ/ミルク チョコレート / カルダモン シナモン ジンジャーエール アールグレイ ジャスミン
同系統の柑橘系はもちろん、南国系のフルーツとも相性がよいのはポイントです。また、 スイーツ系も基本となるバニラやミルクに加えて、チョコレートとも相性がよい です。
柑橘系は基本的にスパイスとの相性がよく、オレンジにも同じことがいえます。また、フローラル系ではジャスミンとの相性もよく、オレンジのフレッシュさとジャスミンの華やかな香りがマッチするでしょう。",5
lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,Al Fakherマンゴーのフレーバーレビュー|特徴やおすすめミックスをご紹介,マンゴー,Al Fakherマンゴーのおすすめミックス,"Al Fakherのマンゴーはフルーツ系はもちろん、その他さまざまなフレーバーとミックスできます。
フルーツ系 / スイーツ系 / スパイス/フローラル系
ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ / バニラ/ミルク / ジンジャーエール カルダモン アールグレイ
他の南国系とのミックスはもちろん、柑橘系とも相性がよいです。 Al Fakherのマンゴーは南国系のフレーバーの中では、比較的さっぱりしているため、同じくさっぱりした柑橘系とは相性がよい でしょう。
バニラやミルクなど、スイーツ系と合わせることもできますが、飛びぬけて甘くなるわけではありません。どうしても青さは残りやすいため、もっと甘いマンゴーのスイーツを考えるなら、別メーカーのフレーバーを使用したほうがよいでしょう。
意外なことに、マンゴーはさまざまなスパイスとミックスしても相性がよいです。特にカルダモンやジンジャーエールなど、生姜の風味を持つものとは相性がよく、ドライな味わいが好きな人におすすめです。",6
lagos_af-grapefruit-review,https://shisha-lagos.com/af-grapefruit-review/,Al Fakherグレープフルーツのフレーバーレビュー|特徴やおすすめミックスなど,グレープフルーツ,Al Fakherグレープフルーツのおすすめミックス,"Al Fakherのグレープフルーツは、さまざまなフレーバーとミックスして、変化を楽しめるフレーバーです。
フルーツ系 / スイーツ系 / スパイス/フローラル系
レモン/オレンジ グアバ/グレープ グレナデン/ピーチ パッションフルーツ / ハニー / ジャスミン カルダモン ツーアップル
レモンやオレンジといった柑橘系はもちろん、やや青みのあるフレーバーや甘み、渋みがあるフレーバーとも併せられます。 柑橘同士は基本的に相性がよいですが、ライムのように爽やかすぎるものは、やや味のまとまりが取りづらくなるため、避けたほうが無難でしょう。
スイーツ系は相性がよいものがほとんどないため、無理に相性を考える必要はありません。また、スパイスやフローラルとは別枠ですが、ツーアップルとの相性もよく、少し混ぜることでジューシーなグレープフルーツを作れます。
ただし、Al Fakherのグレープフルーツもツーアップルも重いフレーバーであるため、強いものでもしっかり吸える人向けのミックスです。初心者には不向きであるため、ある程度吸い慣れてきてから試すとよいでしょう。",6
lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,Al Fakherミントのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,ミント,Al Fakherミントのおすすめミックス,"Al Fakherのミントは、さっぱりしたものから甘いものまで、さまざまなフレーバーとミックスして楽しめます。
フルーツ系 / スイーツ系 / スパイス系
レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン / バニラ/ミルク チョコレート / シナモン アールグレイ カルダモン ローズ ジャスミン
フルーツ系はほぼすべてのフレーバーとミックスが可能です。 組み合わせない例としては、ストロベリーやバナナのように、甘すぎるものとイメージするとよいでしょう。
反面、バニラやミルクなどはミックスしても美味しく吸うことができます。実際にシーシャのフレーバーではミントクリームのように、バニラやミルクの風味にミントをプラスしたものもあります。
また、チョコミントのフレーバーもあることから、チョコレートとミックスも可能です。スパイスやフローラル系とも相性がよく、万遍なくミックスを楽しめるのは、ミントの特徴といえるでしょう。",6
lagos_af-vanilla-review,https://shisha-lagos.com/af-vanilla-review/,Al Fakherバニラのフレーバーレビュー|特徴やおすすめミックスなど,バニラ,Al Fakherバニラのおすすめミックス,"Al Fakherのバニラは、基本的に甘いフレーバーであれば、ほとんどのフレーバーとミックスして問題ありません。
フルーツ系 / スイーツ系 / スパイス/フローラル系
ストロベリー/バナナ ピーチ/マンゴー ブルーベリー/ライチ 洋ナシ/ラズベリー メロン/すいか ココナッツ/オレンジ / ミルク/コーヒー キャラメル ミルクティ / チャイ/シナモン カルダモン アールグレイ ローズ
基本的に甘いフルーツとバニラは相性がよく、多くのものがミックス可能 です。ただし、フルーツ系でも酸味が強いもの、青みが強いものとは相性がよくありません。
スイーツ系はほとんどどのフレーバーとも、ミックスできるといえるでしょう。スパイスやフローラル系とも相性がよく、少し甘さを足したいときに、バニラは便利に使えます。",5
lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,Al Fakherメロンのフレーバーレビュー|特徴やおすすめミックスなど,メロン,Al Fakherメロンのおすすめミックス,"Al Fakherのメロンは、さまざまなフレーバーとミックスして楽しめます。
フルーツ系 / スイーツ系 / スパイス/フローラル系
スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー / バニラ/ミルク キャラメル / カルダモン シナモン ローズ
メロンと同様に青みのあるスイカやグアバ、マンゴーなどは相性がよいです。また、 爽やかに吸いたい場合はオレンジと組み合わせるのがおすすめ です。
青みがある分、スイーツ系で合わせる場合は選択肢は限定的であり、バニラやミルクなど、スタンダードなフレーバーと混ぜるとよいでしょう。
スパイス系ではカルダモンやシナモンとミックスがおすすめです。フローラル系はローズと相性がよく、メロンとローズ、ミルクなどで混ぜるとバランスが取りやすいでしょう。",6
lagos_af-grenadine-review,https://shisha-lagos.com/af-grenadine-review/,Al Fakherグレナデンのフレーバーレビュー|特徴やおすすめミックスなど,グレナデン,Al Fakherグレナデンのおすすめミックス,"ベリーの風味も強いグレナデンは、ベリー系はもちろん、その他のさまざまなフレーバーとミックスして楽しめます。
フルーツ系 / スイーツ系 / スパイス/フローラル系
ブルーベリー/ラズベリー キウイ/チェリー ストロベリー/レモン パッションフルーツ ライチ/グレープフルーツ オレンジ/ピーチ / ミルク/ハニー / カルダモン/アールグレイ シナモン/ローズ
グレナデンは多数のフルーツを合わせることができ、メインとサブの両方に使えます。 グレナデンは味が強いため、メインにすると他のフレーバーに負けることが少ないです。また、サブにした場合も深みを出すことができるため、汎用性は高いといえるでしょう。
スイーツ系のフレーバーは相性のよいものが少ないですが、ミルクと混ぜることで「ざくろヨーグルト」のようなシーシャを作ることができます。
スパイス系はカルダモンやジンジャーエールなど、生姜っぽさのあるフレーバーと相性がよいです。ノンアルコールカクテルに「シャーリーテンプル」というものがあり、これはジンジャーエールとグレナデンシロップを使用します。
ノンアルコールカクテルの再現シーシャとして、カルダモンやジンジャーエールなどは相性がよく、お好みでレモンなどの柑橘系フレーバーを足してもよいでしょう。",7
lagos_af-kiwi-review,https://shisha-lagos.com/af-kiwi-review/,Al Fakherキウイのフレーバーレビュー|特徴やおすすめミックスなどをご紹介,キウイ,Al Fakherキウイのおすすめミックス,"Al Fakherのキウイは、甘さと酸味の両方を活かしてミックスを考えることができます。
フルーツ系 / スイーツ系 / スパイス/フローラル系
レモン/ライム グレナデン/グレープ パッションフルーツ グアバ / × / ジンジャーエール レモングラス カルダモン
フルーツ系で合わせる場合は、 レモンやライムなど、酸味の強い柑橘系がおすすめ です。また、甘酸っぱさを活かしてグレナデンやパッションフルーツ、青みを伸ばす方向性でグレープやグアバと混ぜてもよいでしょう。
Al Fakherのキウイは甘さがありますが、青みも強く出るため、スイーツ系のフレーバーとは基本的に相性がよくありません。そのため、無理にスイーツ系で考えるよりも、フルーツやスパイスとのミックスを考えたほうがよいでしょう。
スパイス系では柑橘と属性の近い、カルダモンやジンジャーエールなどのフレーバーとのミックスがおすすめです。それぞれ高い温度で酸味が出るため、キウイの温度帯とも合いやすいでしょう。",6
