document_id,flavor_a,flavor_b,pair_key,sentence,matched_categories,matched_terms,is_same_sentence_pair,has_positive_expression,has_negative_expression,has_taste_role_explanation,review_title,review_url
R0044,グレープ,ミント,グレープ||ミント,・ベリー×ブルーヘブン×ミント – ベリーの甘酸っぱさ、ブルーヘブンのすっきりとした酸味・甘み・清涼感、そしてミントの清涼感の調和を楽しむミックスです。,experience:balance|experience:coolness|taste:acidity|taste_role,ミックス|清涼感|調和|酸味,False,False,False,True,MALAKI – Berry(ベリー),https://cloud-jp.net/malaki-berry/
R0044,グレープ,ミント,グレープ||ミント,・ベリー×グレープ×グレナデン – ベリーとグレナデンの酸味を生かしつつ、グレープの優しい甘さのバランスを楽しむミックスです。,experience:balance|experience:smoothness|taste:acidity|taste_role,バランス|ミックス|優しい|酸味,False,False,False,True,MALAKI – Berry(ベリー),https://cloud-jp.net/malaki-berry/
R0047,グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)の特徴,,,True,False,False,False,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/
R0047,グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)のおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/
R0047,グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)の特徴,,,True,False,False,False,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/
R0047,グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)のおすすめミックス,evaluation:positive|taste_role,おすすめ|ミックス,True,True,False,True,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/
R0047,グレープ,ミント,グレープ||ミント,MALAKI – Grape Mint(グレープミント)はCLOUD SHOPにてご購入いただけます！,,,True,False,False,False,MALAKI – Grape Mint(グレープミント),https://cloud-jp.net/malaki-grapemint/
R0070,グレープ,ミント,グレープ||ミント,・グレープ×ライム×ミント – スッキリとグレープを楽しみたい方に向けたミックス。,taste_role,ミックス,True,False,False,True,DOZAJ – Grape(グレープ)レビュー,https://cloud-jp.net/dozaj-grape/
R0107,グレープ,ミント,グレープ||ミント,tabu Grape Mint(グレープミント)の特徴,,,True,False,False,False,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0107,グレープ,ミント,グレープ||ミント,tabu Grape Mint(グレープミント)のおすすめミックス・組み合わせ,evaluation:positive|taste_role,おすすめ|ミックス|組み合わせ,True,True,False,True,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0107,グレープ,ミント,グレープ||ミント,tabu Grape Mint(グレープミント)の特徴,,,True,False,False,False,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0107,グレープ,ミント,グレープ||ミント,TabuのGrape Mintは、中東系のワインのような独特なクセのあるいわゆるグレープ味とは違い、一般的なグレープの香りを再現したフレーバーです。,experience:aroma,香り,True,False,False,False,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0107,グレープ,ミント,グレープ||ミント,tabu Grape Mint(グレープミント)のおすすめミックス・組み合わせ,evaluation:positive|taste_role,おすすめ|ミックス|組み合わせ,True,True,False,True,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0107,グレープ,ミント,グレープ||ミント,GrapeMint自体が清涼感のあるさっぱりとしたフレーバーなので、その系統でミックスするのであれば、グレープフルーツやレモンんアドの柑橘系がおすすめです。,evaluation:positive|experience:coolness|taste_role,おすすめ|さっぱり|ミックス|清涼感,True,True,False,True,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0107,グレープ,ミント,グレープ||ミント,Tabu(タブ) – Grape Mint(グレープミント)はCLOUD SHOPにてご購入いただけます！,,,True,False,False,False,Tabu – Grape Mint(グレープミント)レビュー,https://cloud-jp.net/tabu-grapemint/
R0134,グレープ,ミント,グレープ||ミント,個人的なおすすめのミックスとしては、TrifectaのPeppermint Shakeとの相性がよかったです。,evaluation:positive|experience:balance|taste_role,おすすめ|ミックス|相性,False,True,False,True,DOZAJ – Cuba Dream(キューバドリーム)レビュー,https://cloud-jp.net/dozaj-cubadream/
R0134,グレープ,ミント,グレープ||ミント,AzureのNape Grapeあたりが無難でイケる味です。,,,False,False,False,False,DOZAJ – Cuba Dream(キューバドリーム)レビュー,https://cloud-jp.net/dozaj-cubadream/
R0171,グレープ,ミント,グレープ||ミント,・【Al Fakher】GRAPE(60%)　＋　【旬-SHUN-】MINT(30%),,,True,False,False,False,旬-SHUN- MINT,https://cloud-jp.net/shun-mint/
R0173,グレープ,ミント,グレープ||ミント,・【Social Smoke】 GRAPE CHILL (40%)＋【旬-SHUN-】WHITE GRAPE(30%) +【旬-SHUN-】MINT(30%),,,True,False,False,False,旬-SHUN- WHITEGRAPE,https://cloud-jp.net/shun-white-grape/
R0035,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/
R0035,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Wild(ワイルド),https://cloud-jp.net/malaki-wild/
R0037,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/
R0037,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Velvet(ベルベット),https://cloud-jp.net/malaki-velvet/
R0038,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/
R0038,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×ナワール×アールグレイ – お花と紅茶の香りを足して、ワイルドがいつものいい香りの後味をまとめてくれます。,experience:aroma,香り,False,False,False,False,MALAKI – Specra(スペクトラ),https://cloud-jp.net/malaki-specra/
R0039,アールグレイ,バニラ,アールグレイ||バニラ,・ワイルド×バニラ×コニャック – 甘さとスモーキーな香りを重ねて上品な香りを楽しむミックス。,experience:aroma|taste_role,ミックス|香り,False,False,False,True,MALAKI – Sour Asia(サワーアジア),https://cloud-jp.net/malaki-sourasia/
